type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
long,2026-06-10 05:30:00,2026-06-10 07:30:00,1343.1,1339.0707,-0.39999999999999414,2,stop_loss
long,2026-06-10 13:30:00,2026-06-10 14:30:00,1336.75,1332.73975,-0.40000000000000313,1,stop_loss
long,2026-06-11 05:30:00,2026-06-11 15:30:00,1328.35,1336.3201,0.5000000000000002,10,take_profit
short,2026-06-15 14:30:00,2026-06-15 17:30:00,1357.1,1358.5,-0.20316115245745273,3,forced_intraday_exit
long,2026-06-18 10:30:00,2026-06-18 11:30:00,1343.0,1338.971,-0.3999999999999998,1,stop_loss
long,2026-06-19 12:30:00,2026-06-19 13:30:00,1330.45,1326.45865,-0.4000000000000008,1,stop_loss
long,2026-06-22 04:30:00,2026-06-22 07:30:00,1330.4,1338.3824000000002,0.5000000000000073,3,take_profit
long,2026-06-24 08:30:00,2026-06-24 09:30:00,1290.05,1286.17985,-0.39999999999999747,1,stop_loss
long,2026-06-24 14:30:00,2026-06-24 15:30:00,1257.5,1253.7275,-0.4000000000000029,1,stop_loss
long,2026-06-26 12:30:00,2026-06-26 17:30:00,1267.4,1266.8,-0.14734101309769104,5,forced_intraday_exit
