type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
long,2026-06-11 06:30:00,2026-06-11 17:30:00,1329.5,1345.1,1.0733734486649047,11,forced_intraday_exit
short,2026-06-15 15:30:00,2026-06-15 17:30:00,1358.0,1358.5,-0.13681885125184096,2,forced_intraday_exit
long,2026-06-19 13:30:00,2026-06-19 17:30:00,1327.3,1327.4,-0.09246590823475202,4,forced_intraday_exit
long,2026-06-24 15:30:00,2026-06-24 16:30:00,1249.0,1245.253,-0.4000000000000057,1,stop_loss
long,2026-06-26 13:30:00,2026-06-26 17:30:00,1267.9,1266.8,-0.18675763072798615,4,forced_intraday_exit
