type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
short,2025-06-10 05:45:00,2025-06-10 09:45:00,126.89,125.96,0.6329182756718471,4,forced_intraday_exit
short,2025-06-11 05:45:00,2025-06-11 07:45:00,132.84,131.51160000000002,0.8999999999999908,2,take_profit
short,2025-06-30 06:45:00,2025-06-30 07:45:00,143.95,142.51049999999998,0.9000000000000069,1,take_profit
long,2025-07-08 08:45:00,2025-07-08 09:45:00,125.31,124.68345000000001,-0.5999999999999956,1,stop_loss
long,2025-07-09 08:45:00,2025-07-09 09:45:00,127.97,127.81,-0.22502930374306213,1,forced_intraday_exit
short,2025-07-21 03:45:00,2025-07-21 04:45:00,136.7,137.38349999999997,-0.5999999999999861,1,stop_loss
short,2025-07-21 06:45:00,2025-07-21 07:45:00,137.86,138.5493,-0.5999999999999814,1,stop_loss
short,2025-07-22 06:45:00,2025-07-22 08:45:00,137.66,136.2834,0.8999999999999972,2,take_profit
long,2025-07-29 06:45:00,2025-07-29 09:45:00,125.33,125.35,-0.08404212878002393,3,forced_intraday_exit
long,2025-07-31 03:45:00,2025-07-31 04:45:00,127.97,127.33015,-0.5999999999999965,1,stop_loss
long,2025-08-29 03:45:00,2025-08-29 04:45:00,122.5,123.725,0.8999999999999954,1,take_profit
short,2025-09-05 05:45:00,2025-09-05 06:45:00,135.4,136.077,-0.5999999999999944,1,stop_loss
short,2025-09-08 05:45:00,2025-09-08 07:45:00,139.32,137.9268,0.9000000000000054,2,take_profit
short,2025-09-10 05:45:00,2025-09-10 08:45:00,137.81,136.4319,0.8999999999999923,3,take_profit
short,2025-09-22 08:45:00,2025-09-22 09:45:00,140.88,140.91,-0.1212947189097112,1,forced_intraday_exit
long,2025-09-25 05:45:00,2025-09-25 06:45:00,137.94,137.2503,-0.5999999999999912,1,stop_loss
long,2025-09-26 04:45:00,2025-09-26 05:45:00,137.84,137.1508,-0.5999999999999996,1,stop_loss
short,2025-10-06 03:45:00,2025-10-06 04:45:00,158.61,157.02390000000003,0.899999999999992,1,take_profit
short,2025-10-07 05:45:00,2025-10-07 06:45:00,162.38,163.19189999999998,-0.5999999999999878,1,stop_loss
short,2025-10-07 08:45:00,2025-10-07 09:45:00,162.96,162.9,-0.06318114874815767,1,forced_intraday_exit
short,2025-10-15 03:45:00,2025-10-15 05:45:00,164.71,165.53355,-0.5999999999999898,2,stop_loss
short,2025-10-17 03:45:00,2025-10-17 09:45:00,166.72,167.0,-0.26794625719769743,6,forced_intraday_exit
short,2025-10-28 03:45:00,2025-10-28 04:45:00,189.61,190.55804999999998,-0.5999999999999823,1,stop_loss
short,2025-10-28 06:45:00,2025-10-28 07:45:00,187.48,188.41739999999996,-0.5999999999999831,1,stop_loss
short,2025-10-29 04:45:00,2025-10-29 05:45:00,182.19,183.10094999999998,-0.599999999999992,1,stop_loss
short,2025-10-31 05:45:00,2025-10-31 07:45:00,186.1,187.03049999999996,-0.5999999999999821,2,stop_loss
short,2025-11-03 07:45:00,2025-11-03 09:45:00,189.93,190.0,-0.13685568367292855,2,forced_intraday_exit
short,2025-11-04 05:45:00,2025-11-04 06:45:00,188.4,186.516,0.9000000000000076,1,take_profit
long,2025-11-21 03:45:00,2025-11-21 04:45:00,161.34,162.95340000000002,0.900000000000008,1,take_profit
long,2025-11-25 03:45:00,2025-11-25 04:45:00,152.14,151.37929999999997,-0.6000000000000093,1,stop_loss
long,2025-12-03 05:45:00,2025-12-03 07:45:00,151.75,150.99125,-0.5999999999999948,2,stop_loss
long,2025-12-05 07:45:00,2025-12-05 08:45:00,148.49,147.74755000000002,-0.5999999999999939,1,stop_loss
short,2025-12-15 03:45:00,2025-12-15 04:45:00,148.73,149.47364999999996,-0.5999999999999825,1,stop_loss
short,2025-12-15 08:45:00,2025-12-15 09:45:00,148.68,148.35,0.12195318805489136,1,forced_intraday_exit
short,2025-12-17 07:45:00,2025-12-17 08:45:00,143.35,144.06674999999998,-0.5999999999999933,1,stop_loss
long,2025-12-24 03:45:00,2025-12-24 05:45:00,142.65,141.93675000000002,-0.5999999999999915,2,stop_loss
long,2025-12-24 08:45:00,2025-12-24 09:45:00,142.12,141.4094,-0.5999999999999995,1,stop_loss
short,2026-01-06 07:45:00,2026-01-06 09:45:00,148.9,149.1,-0.23431833445264513,2,forced_intraday_exit
long,2026-01-20 07:45:00,2026-01-20 09:45:00,138.41,137.71795,-0.5999999999999962,2,stop_loss
short,2026-02-03 06:45:00,2026-02-03 08:45:00,148.61,149.35305,-0.5999999999999881,2,stop_loss
long,2026-02-16 03:45:00,2026-02-16 04:45:00,145.2,144.474,-0.5999999999999994,1,stop_loss
long,2026-02-16 07:45:00,2026-02-16 08:45:00,146.1,147.561,0.9000000000000087,1,take_profit
short,2026-02-24 04:45:00,2026-02-24 05:45:00,152.54,153.3027,-0.5999999999999969,1,stop_loss
short,2026-02-25 07:45:00,2026-02-25 08:45:00,160.37,161.17184999999998,-0.5999999999999833,1,stop_loss
long,2026-03-09 06:45:00,2026-03-09 09:45:00,140.71,142.11710000000002,0.90000000000001,3,take_profit
long,2026-03-20 03:45:00,2026-03-20 05:45:00,139.9,139.2005,-0.6000000000000002,2,stop_loss
short,2026-03-30 05:45:00,2026-03-30 06:45:00,148.17,148.91084999999998,-0.5999999999999964,1,stop_loss
short,2026-04-09 07:45:00,2026-04-09 08:45:00,151.55,152.30775,-0.5999999999999917,1,stop_loss
short,2026-04-10 03:45:00,2026-04-10 05:45:00,154.03,154.80014999999997,-0.5999999999999822,2,stop_loss
short,2026-04-15 06:45:00,2026-04-15 07:45:00,155.77,156.54885,-0.5999999999999853,1,stop_loss
short,2026-04-16 06:45:00,2026-04-16 07:45:00,154.51,155.28255,-0.5999999999999971,1,stop_loss
long,2026-04-23 03:45:00,2026-04-23 04:45:00,146.48,145.74759999999998,-0.6000000000000085,1,stop_loss
long,2026-04-23 07:45:00,2026-04-23 08:45:00,144.92,144.19539999999998,-0.6000000000000065,1,stop_loss
long,2026-04-24 04:45:00,2026-04-24 08:45:00,144.15,143.42925,-0.6000000000000065,4,stop_loss
long,2026-04-27 03:45:00,2026-04-27 05:45:00,144.4,143.678,-0.6000000000000058,2,stop_loss
long,2026-04-28 04:45:00,2026-04-28 05:45:00,144.12,143.3994,-0.5999999999999933,1,stop_loss
long,2026-04-28 08:45:00,2026-04-28 09:45:00,143.52,142.8024,-0.600000000000003,1,stop_loss
long,2026-04-29 06:45:00,2026-04-29 07:45:00,142.9,142.18550000000002,-0.5999999999999908,1,stop_loss
long,2026-04-30 05:45:00,2026-04-30 07:45:00,143.75,143.03125,-0.6,2,stop_loss
short,2026-05-07 03:45:00,2026-05-07 05:45:00,149.11,149.85555,-0.5999999999999867,2,stop_loss
long,2026-05-14 06:45:00,2026-05-14 07:45:00,145.07,144.34465,-0.5999999999999943,1,stop_loss
long,2026-05-18 07:45:00,2026-05-18 09:45:00,139.91,139.21045,-0.5999999999999913,2,stop_loss
long,2026-05-19 08:45:00,2026-05-19 09:45:00,138.18,138.46,0.10263424518743747,1,forced_intraday_exit
long,2026-05-20 05:45:00,2026-05-20 06:45:00,139.65,138.95175,-0.6000000000000011,1,stop_loss
short,2026-05-29 05:45:00,2026-05-29 06:45:00,175.18,176.05589999999998,-0.5999999999999845,1,stop_loss
short,2026-06-02 06:45:00,2026-06-02 07:45:00,178.8,179.694,-0.5999999999999871,1,stop_loss
short,2026-06-05 05:45:00,2026-06-05 06:45:00,185.8,183.942,0.900000000000002,1,take_profit
long,2026-06-12 08:45:00,2026-06-12 09:45:00,174.25,174.7,0.15824964131993605,1,forced_intraday_exit
long,2026-06-24 08:45:00,2026-06-24 09:45:00,172.21,171.34895,-0.6000000000000034,1,stop_loss
