type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
short,2025-01-02 09:00:00,2025-01-02 09:15:00,162.55,163.03764999999999,-0.3999999999999838,1,stop_loss
short,2025-01-03 04:30:00,2025-01-03 04:45:00,162.55,163.03764999999999,-0.3999999999999838,1,stop_loss
short,2025-01-03 06:15:00,2025-01-03 06:30:00,163.85,164.34154999999998,-0.3999999999999936,1,stop_loss
short,2025-01-03 07:30:00,2025-01-03 08:00:00,164.09,164.58227,-0.39999999999999425,2,stop_loss
short,2025-01-17 05:00:00,2025-01-17 05:15:00,156.31,156.77892999999997,-0.39999999999998204,1,stop_loss
short,2025-01-17 06:30:00,2025-01-17 07:00:00,158.8,157.21200000000002,0.899999999999996,2,take_profit
short,2025-01-20 04:00:00,2025-01-20 04:15:00,157.1,157.57129999999998,-0.3999999999999906,1,stop_loss
long,2025-01-28 03:45:00,2025-01-28 04:00:00,145.58,145.14326,-0.40000000000001,1,stop_loss
long,2025-01-28 05:30:00,2025-01-28 05:45:00,142.31,143.7331,0.9000000000000036,1,take_profit
long,2025-01-31 04:30:00,2025-01-31 05:30:00,139.87,141.2687,0.8999999999999935,4,take_profit
long,2025-02-03 06:45:00,2025-02-03 07:00:00,137.78,137.36666,-0.4000000000000037,1,stop_loss
short,2025-02-06 08:45:00,2025-02-06 09:30:00,145.97,146.40791,-0.3999999999999918,3,stop_loss
short,2025-02-07 05:15:00,2025-02-07 05:30:00,146.89,147.33066999999997,-0.3999999999999885,1,stop_loss
short,2025-02-07 06:30:00,2025-02-07 06:45:00,150.97,151.42290999999997,-0.39999999999998304,1,stop_loss
short,2025-02-07 07:45:00,2025-02-07 08:15:00,151.38,149.8662,0.9000000000000022,2,take_profit
long,2025-02-12 09:00:00,2025-02-12 09:15:00,125.67,125.29299,-0.3999999999999988,1,stop_loss
long,2025-02-13 03:45:00,2025-02-13 04:15:00,127.22,128.4922,0.8999999999999985,2,take_profit
short,2025-03-05 07:45:00,2025-03-05 08:30:00,117.01,115.8399,0.9000000000000042,3,take_profit
short,2025-03-19 08:00:00,2025-03-19 08:15:00,112.96,113.29887999999998,-0.39999999999999025,1,stop_loss
short,2025-03-20 04:30:00,2025-03-20 04:45:00,112.48,112.81743999999999,-0.39999999999998814,1,stop_loss
long,2025-03-25 08:00:00,2025-03-25 08:45:00,113.9,113.5583,-0.4000000000000026,3,stop_loss
short,2025-04-15 07:30:00,2025-04-15 08:15:00,112.91,113.24872999999998,-0.3999999999999858,3,stop_loss
short,2025-04-16 04:45:00,2025-04-16 05:30:00,115.95,116.29785,-0.3999999999999948,3,stop_loss
short,2025-04-16 07:15:00,2025-04-16 09:00:00,116.9,115.73100000000001,0.8999999999999972,7,take_profit
short,2025-04-21 05:00:00,2025-04-21 05:15:00,122.47,122.83740999999999,-0.3999999999999938,1,stop_loss
short,2025-04-21 06:00:00,2025-04-21 07:00:00,122.74,123.10821999999999,-0.3999999999999949,4,stop_loss
short,2025-05-12 07:45:00,2025-05-12 08:00:00,120.11,120.47032999999999,-0.39999999999999203,1,stop_loss
long,2025-06-19 04:15:00,2025-06-19 04:30:00,123.1,122.7307,-0.39999999999999636,1,stop_loss
long,2025-06-19 06:45:00,2025-06-19 07:00:00,120.83,120.46751,-0.399999999999995,1,stop_loss
long,2025-06-20 04:15:00,2025-06-20 04:45:00,119.21,120.40209999999999,0.8999999999999971,2,take_profit
short,2025-06-25 09:15:00,2025-06-25 09:30:00,143.6,144.03079999999997,-0.3999999999999837,1,stop_loss
long,2025-07-02 08:30:00,2025-07-02 09:15:00,136.52,136.11044,-0.39999999999999925,3,stop_loss
long,2025-07-04 07:00:00,2025-07-04 07:30:00,124.18,123.80746,-0.4000000000000006,2,stop_loss
long,2025-07-07 08:45:00,2025-07-07 09:30:00,123.28,124.5128,0.8999999999999979,3,take_profit
long,2025-07-08 07:30:00,2025-07-08 08:30:00,122.4,123.62400000000001,0.9000000000000029,4,take_profit
short,2025-07-10 07:45:00,2025-07-10 08:15:00,131.29,131.68386999999998,-0.39999999999999447,2,stop_loss
short,2025-07-21 05:45:00,2025-07-21 06:30:00,137.6,136.224,0.9000000000000036,3,take_profit
short,2025-07-21 08:45:00,2025-07-21 09:45:00,137.4,137.0,0.19112081513828652,4,forced_intraday_exit
long,2025-07-25 07:30:00,2025-07-25 08:00:00,126.75,126.36975,-0.4000000000000029,2,stop_loss
long,2025-07-28 04:15:00,2025-07-28 04:30:00,127.42,128.6942,0.8999999999999948,1,take_profit
long,2025-07-29 05:30:00,2025-07-29 06:15:00,122.9,124.129,0.8999999999999994,3,take_profit
short,2025-08-20 04:00:00,2025-08-20 04:15:00,122.89,123.25866999999998,-0.3999999999999839,1,stop_loss
long,2025-09-24 05:30:00,2025-09-24 06:30:00,135.34,136.6934,0.8999999999999951,4,take_profit
short,2025-09-29 06:30:00,2025-09-29 06:45:00,149.78,150.22933999999998,-0.39999999999998537,1,stop_loss
short,2025-09-29 09:00:00,2025-09-29 09:15:00,154.89,155.35466999999997,-0.3999999999999897,1,stop_loss
short,2025-09-30 04:30:00,2025-09-30 04:45:00,158.1,158.57429999999997,-0.3999999999999817,1,stop_loss
short,2025-10-01 04:45:00,2025-10-01 05:00:00,164.36,164.85308,-0.39999999999999514,1,stop_loss
short,2025-10-01 05:45:00,2025-10-01 06:15:00,164.05,164.54215,-0.39999999999998836,2,stop_loss
short,2025-10-01 07:45:00,2025-10-01 08:00:00,166.39,166.88916999999998,-0.39999999999999536,1,stop_loss
short,2025-10-24 08:45:00,2025-10-24 09:00:00,187.71,188.27312999999998,-0.39999999999998537,1,stop_loss
short,2025-10-27 04:15:00,2025-10-27 04:30:00,187.09,187.65126999999998,-0.3999999999999888,1,stop_loss
short,2025-10-27 09:00:00,2025-10-27 09:30:00,188.89,189.45666999999997,-0.3999999999999936,2,stop_loss
long,2025-11-10 07:45:00,2025-11-10 08:15:00,182.3,181.75310000000002,-0.3999999999999966,2,stop_loss
short,2025-11-18 04:45:00,2025-11-18 05:45:00,182.64,183.18791999999996,-0.39999999999998714,4,stop_loss
long,2025-11-21 04:00:00,2025-11-21 04:15:00,161.32,160.83604,-0.3999999999999976,1,stop_loss
long,2025-11-25 09:00:00,2025-11-25 09:15:00,152.1,151.6437,-0.39999999999999925,1,stop_loss
long,2025-12-05 07:30:00,2025-12-05 09:15:00,147.92,147.47624,-0.39999999999999836,7,stop_loss
long,2025-12-08 08:30:00,2025-12-08 09:30:00,141.61,143.0261,0.9,4,take_profit
long,2025-12-09 04:45:00,2025-12-09 05:00:00,141.6,141.1752,-0.40000000000000335,1,stop_loss
short,2025-12-12 09:00:00,2025-12-12 09:45:00,149.7,149.6,-0.033199732798935,3,forced_intraday_exit
long,2026-01-12 06:45:00,2026-01-12 07:45:00,142.74,142.31178,-0.4000000000000071,4,stop_loss
long,2026-01-19 04:15:00,2026-01-19 04:45:00,141.26,140.83622,-0.39999999999999547,2,stop_loss
short,2026-01-30 06:45:00,2026-01-30 07:00:00,152.03,150.5097,0.8999999999999947,1,take_profit
long,2026-02-16 04:00:00,2026-02-16 04:15:00,144.27,143.83719000000002,-0.3999999999999926,1,stop_loss
short,2026-02-20 07:45:00,2026-02-20 08:15:00,153.79,154.25136999999998,-0.39999999999999225,2,stop_loss
short,2026-02-23 03:45:00,2026-02-23 04:00:00,153.3,153.7599,-0.3999999999999845,1,stop_loss
short,2026-02-25 09:00:00,2026-02-25 09:15:00,160.35,158.7465,0.8999999999999981,1,take_profit
long,2026-03-04 06:45:00,2026-03-04 07:45:00,142.05,143.47050000000002,0.9000000000000029,4,take_profit
long,2026-03-16 09:15:00,2026-03-16 09:45:00,138.14,138.13,-0.10723903286520263,2,forced_intraday_exit
long,2026-03-24 04:15:00,2026-03-24 04:30:00,132.29,131.89312999999999,-0.40000000000000524,1,stop_loss
short,2026-04-09 04:00:00,2026-04-09 04:30:00,150.02,150.47006,-0.39999999999998614,2,stop_loss
short,2026-04-09 07:15:00,2026-04-09 07:45:00,153.13,151.5987,0.8999999999999919,2,take_profit
long,2026-04-21 08:30:00,2026-04-21 09:30:00,149.2,148.7524,-0.39999999999999614,4,stop_loss
short,2026-05-22 04:30:00,2026-05-22 04:45:00,152.44,152.89731999999998,-0.3999999999999879,1,stop_loss
short,2026-05-25 06:30:00,2026-05-25 06:45:00,168.46,168.96537999999998,-0.3999999999999845,1,stop_loss
short,2026-05-26 04:30:00,2026-05-26 05:00:00,169.72,170.22915999999998,-0.39999999999998825,2,stop_loss
short,2026-05-27 08:45:00,2026-05-27 09:30:00,175.02,173.2698,0.9000000000000036,3,take_profit
short,2026-05-29 04:30:00,2026-05-29 06:45:00,176.84,175.0716,0.9000000000000078,9,take_profit
short,2026-06-04 07:15:00,2026-06-04 07:30:00,182.69,183.23806999999996,-0.39999999999998204,1,stop_loss
short,2026-06-04 08:45:00,2026-06-04 09:45:00,183.6,184.15079999999998,-0.3999999999999897,4,stop_loss
long,2026-06-11 08:45:00,2026-06-11 09:00:00,169.8,169.2906,-0.3999999999999996,1,stop_loss
long,2026-06-12 04:00:00,2026-06-12 04:15:00,172.55,172.03235,-0.4000000000000019,1,stop_loss
short,2026-06-15 07:00:00,2026-06-15 08:00:00,180.3,180.8409,-0.39999999999999636,4,stop_loss
short,2026-06-15 09:00:00,2026-06-15 09:45:00,181.18,180.3,0.3857048239319988,3,forced_intraday_exit
long,2026-06-18 07:00:00,2026-06-18 09:45:00,173.59,174.12,0.20531712656259063,11,forced_intraday_exit
long,2026-06-24 04:15:00,2026-06-24 04:30:00,171.85,173.5685,0.9000000000000036,1,take_profit
