type,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason
short,2025-01-01 08:45:00,2025-01-01 09:45:00,152.84,152.7,-0.008400942161728112,4,forced_intraday_exit
short,2025-01-02 05:45:00,2025-01-02 06:00:00,160.36,161.1618,-0.5999999999999912,1,stop_loss
short,2025-01-02 08:45:00,2025-01-02 09:00:00,161.5,162.30749999999998,-0.5999999999999852,1,stop_loss
short,2025-01-03 04:15:00,2025-01-03 05:15:00,162.9,163.7145,-0.5999999999999884,4,stop_loss
short,2025-01-03 06:00:00,2025-01-03 06:30:00,163.69,164.50844999999998,-0.5999999999999904,2,stop_loss
short,2025-01-03 07:15:00,2025-01-03 08:45:00,164.23,162.58769999999998,0.9000000000000036,6,take_profit
long,2025-01-07 08:45:00,2025-01-07 09:45:00,159.9,159.1005,-0.5999999999999968,4,stop_loss
long,2025-01-08 04:00:00,2025-01-08 04:15:00,160.0,159.2,-0.6000000000000071,1,stop_loss
long,2025-01-08 04:45:00,2025-01-08 05:00:00,159.33,158.53335,-0.5999999999999998,1,stop_loss
long,2025-01-08 05:30:00,2025-01-08 06:15:00,158.85,158.05575,-0.6000000000000033,3,stop_loss
long,2025-01-10 09:00:00,2025-01-10 09:30:00,150.63,149.87685,-0.6000000000000034,2,stop_loss
long,2025-01-14 04:00:00,2025-01-14 04:15:00,142.8,142.086,-0.599999999999999,1,stop_loss
long,2025-01-14 04:45:00,2025-01-14 05:30:00,142.7,144.12699999999998,0.8999999999999948,3,take_profit
long,2025-01-14 07:30:00,2025-01-14 09:45:00,143.06,143.13,-0.05106948133650695,9,forced_intraday_exit
short,2025-01-17 04:45:00,2025-01-17 05:00:00,155.39,156.16694999999996,-0.5999999999999813,1,stop_loss
short,2025-01-17 06:15:00,2025-01-17 07:00:00,159.11,157.5189,0.9000000000000071,3,take_profit
short,2025-01-17 08:15:00,2025-01-17 09:15:00,157.71,158.49855,-0.5999999999999914,4,stop_loss
short,2025-01-17 09:15:00,2025-01-17 09:30:00,158.09,158.88045,-0.5999999999999954,1,stop_loss
short,2025-01-20 03:45:00,2025-01-20 04:45:00,157.11,157.89555,-0.5999999999999822,4,stop_loss
